date, pm25, pm10, o3, no2, so2, co
12/1/2018,214,167,2,9,2,9
12/2/2018,240,110,7,8,2,8
12/3/2018,186,157,11,15,3,9
12/4/2018,225,137,18,23,2,8
12/5/2018,208,158,10,23,3,8
12/6/2018,221,97,13,20,2,7
12/7/2018,171,115,9,20,2,8
12/8/2018,188,153,23,22,3,9
12/9/2018,217,123,19,15,2,9
12/10/2018,208,174,20,11,3,11
12/11/2018,282,155,20,16,3,13
12/12/2018,261,117,16,13,2,9
12/13/2018,210,157,15,17,3,12
12/14/2018,264,223,31,21,3,10
12/15/2018,301,135,16,15,3,9
12/16/2018,224,141,8,21,3,10
12/17/2018,224,144,23,14,3,8
12/18/2018,216,146,13,11,3,10
12/19/2018,216,176,23,15,3,10
12/20/2018,241,181,21,16,3,10
12/21/2018,251,185,20,16,5,9
12/22/2018,239,109,18,13,3,9
12/23/2018,180,137,32,15,3,11
12/24/2018,217,156,3,20,2,9
12/25/2018,233, , , , , 
12/26/2018,132,105,39,11,3,10
12/27/2018,132,118,40,11,3,10
12/28/2018,137,125,43,11,3,10
12/29/2018,141,132,46,14,3,11
12/30/2018,153,116,44,15,5,11
12/31/2018,161,148,20,14,3,13
1/1/2019,165,118,19,11,3,11
1/2/2019,138,133,19,10,3,12
1/3/2019,146,147,18, , ,11
1/4/2019,144,114,25,11,2,11
1/5/2019,143,148,34,13,3,12
1/6/2019,186,228,40,18,4,13
1/7/2019,211,149,29,15,3,12
1/8/2019,169,124,22,12,2,12
1/9/2019,137,102,20,9,2,10
1/10/2019,118,45,22,9,2,10
1/11/2019,70,75,27,16,2,9
1/12/2019,106,77,34,12,3,10
1/13/2019,113,113,41,15,4,11
1/14/2019,157,119,54,13,4,12
1/15/2019,173,153,50,17,5,13
1/16/2019,197,141,32,19,3,13
1/17/2019,176,113,36,14,4,11
1/18/2019,154,138,39,18,4,12
1/19/2019,178,130,43,16,4,11
1/20/2019,162,170,47,24,5,13
1/21/2019,186,221,55,24,5,16
1/22/2019,220,186,88,21,4,17
1/23/2019,222,152,57,15,3,8
1/24/2019,195,173,49,17,3,11
1/25/2019,222,179,52,17,3,10
1/26/2019,217,339,41,22,6,13
1/27/2019,311,356,42,25,3,12
1/28/2019,298,371,43,27,4,13
1/29/2019,286,370,34,25,4,13
1/30/2019,299,277,55,20,3,11
1/31/2019,240,159,82,22,5,12
2/1/2019,205,244,50,27,6,13
2/2/2019,250,368,25,27,4,13
2/3/2019,411,137,13,14,2,7
2/4/2019,201,80,27,11,2,7
2/5/2019,144,98,36,10,3,7
2/6/2019,168,205,43,15,10,10
2/7/2019,326,158,40,19,5,9
2/8/2019,263,224,44,20,4,10
2/9/2019,339,291,48,25,4,12
2/10/2019,368,204,41,21,3,13
2/11/2019,271,174,39,21,3,11
2/12/2019,251,173,60,21,3,12
2/13/2019,261,186,53,21,2,10
2/14/2019,263,196,1,18,5,9
2/15/2019,320,219,8,20,4,10
2/16/2019,327,245,59,27,3,13
2/17/2019,350,276,73,20,3,12
2/18/2019,378,307,51,22,4,12
2/19/2019,342,204,61,17,4,11
2/20/2019,316,178,21,14,2,11
2/21/2019,298,101,17,9,1,8
2/22/2019,198,134,37,12,2,10
2/23/2019,223,160,40,10,2,10
2/24/2019,286,135,39,10,3,9
2/25/2019,240,137,35,14,4,9
2/26/2019,202,132,38,13,2,10
2/27/2019,224,130,40,12,7,8
2/28/2019,218,114,36,13,4,8
3/1/2019,201,155,36,17,3,9
3/2/2019,215,186,38,20,4,12
3/3/2019,266,207,40,24,3,11
3/4/2019,269,165,39,24,4,9
3/5/2019,247,127,38,19,4,8
3/6/2019,217,145,41,19,3,10
3/7/2019,242,186,52,24,4,11
3/8/2019,296,190,46,23,3,11
3/9/2019,300,180,33,21,5,10
3/10/2019,249,193,35,22,4,10
3/11/2019,264,287,35,25,7,13
3/12/2019,315,177,36,21,4,11
3/13/2019,269,138,28,17,3,8
3/14/2019,213,122,31,17,3,8
3/15/2019,201,162,31,21,4,9
3/16/2019,227,221,31,22,4,11
